National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2023-24 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (115) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_PACISL_PCT,PSS_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8,PSS_ASSOC_9,PSS_ASSOC_10,PSS_ASSOC_11,PSS_ASSOC_12,PSS_ASSOC_13,PSS_ASSOC_14,PSS_ASSOC_15
A2102562,CHILDREN'S ACADEMY,3,17,317 E 50TH ST,NEW YORK,36061,061,NY,36,10022,6468239909,147,6,No,,,5,5,4,3,7,5,5,6,6,2,3,3,5,59,59,,,,,,,,24.3,11,1,4,3,3,1,,,,,,,,2.42,30,NEW YORK,State or regional independent school association,,,,,,,,,,,,,,
00939979,COLUMBIA GRAMMAR & PREPARATORY SCHOOL,2,17,5 W 93RD ST,NEW YORK,36061,061,NY,36,10025,2127496200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,-1,-1,3,3,1,,,,,,,,,30,NEW YORK,,,,,,,,,,,,,,,
A0107526,COOKE SCHOOL,3,17,1713 MADISON AVE,NEW YORK,36061,061,NY,36,10029,6462735555,175,6.33,No,85,,8,8,9,14,8,12,17,19,21,28,30,29,29,317,317,0,38,82,72,109,0,16,88,11,1,4,3,3,1,0,11.98,25.86,22.71,34.38,0,5.04,3.6,30,NEW YORK,Other school association(s),,,,,,,,,,,,,,
00940022,CORLEARS SCHOOL,2,10,324 W 15TH ST,NEW YORK,36061,061,NY,36,10011,1212741280,165,5,Yes,,20,20,10,10,12,15,10,,,,,,,,97,77,0,0,,,,0,,32,11,1,1,1,3,1,0,0,,,,0,,2.4,30,NEW YORK,National Association of Independent Schools (NAIS),,,,,,,,,,,,,,
A9502938,CORNELIA CONNELLY CENTER,9,13,220 E 4TH ST,NEW YORK,36061,061,NY,36,10009,2129822287,180,7,No,,,,,,,13,19,15,20,19,,,,,86,86,0,0,78,4,1,0,3,15.3,11,2,1,1,1,1,0,0,90.69,4.65,1.16,0,3.48,5.62,1,NEW YORK,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,
A0701603,CRISTO REY NEW YORK HIGH SCHOOL,14,17,112 E 106TH ST FRNT,NEW YORK,36061,061,NY,36,10029,2129967000,175,7.25,Yes,,,,,,,,,,,,107,96,79,94,376,376,0,,,,,0,,24.8,11,1,1,2,1,1,0,,,,,0,,15.16,1,NEW YORK,Jesuit Schools Network (JSN),,,,,,,,,,,,,,
A2102584,DALTON SCHOOL,3,17,53 E 91ST ST,NEW YORK,36061,061,NY,36,10128,2124235244,150,8,Yes,,,97,97,95,95,93,92,101,102,102,109,116,118,113,1330,1330,0,,,,,0,,218.6,11,1,1,3,3,1,0,,,,,0,,6.08,30,NEW YORK,Other school association(s),,,,,,,,,,,,,,
00941729,DALTON SCHOOL,3,17,108 E 89TH ST,NEW YORK,36061,061,NY,36,10128,2124235200,150,7.5,Yes,,,97,97,95,95,93,92,101,102,102,109,116,118,113,1330,1330,0,260,29,142,564,0,335,218.6,11,1,1,3,3,1,0,19.54,2.18,10.67,42.4,0,25.18,6.08,30,NEW YORK,National Association of Independent Schools (NAIS),Other school association(s),,,,,,,,,,,,,
A9104782,DE LA SALLE ACADEMY,11,13,332 W 43RD ST,NEW YORK,36061,061,NY,36,10036,2123165840,,,,,,,,,,,,32,55,53,,,,,140,140,0,69,28,36,3,0,4,10,11,1,1,1,1,1,0,49.28,20,25.71,2.14,0,2.85,14,1,NEW YORK,National Association of Independent Schools (NAIS),,,,,,,,,,,,,,
A1302045,DOMINICAN ACADEMY,14,17,44 E 68TH ST,NEW YORK,36061,061,NY,36,10065,2127440195,180,6.58,Yes,,,,,,,,,,,,41,66,68,65,240,240,0,21,28,19,137,1,34,25.1,11,2,1,2,1,1,0,8.75,11.66,7.91,57.08,0.41,14.16,9.56,1,NEW YORK,Accelerated Christian Education (ACE) (or School of Tomorrow),National Catholic Educational Association (NCEA),Other school association(s),,,,,,,,,,,,
A0302186,DWIGHT SCHOOL,2,17,291 CENTRAL PARK W,NEW YORK,36061,061,NY,36,10024,2127246360,166,6.91,Yes,,173,27,35,30,31,39,45,66,60,65,95,91,106,84,947,774,0,80,96,34,477,0,87,161.6,11,1,1,3,3,1,0,10.33,12.4,4.39,61.62,0,11.24,4.78,30,NEW YORK,Other school association(s),,,,,,,,,,,,,,
BB162091,DWIGHT SCHOOL,2,17,18 W 89TH ST,NEW YORK,36061,061,NY,36,10024,2127246360,166,6.91,Yes,,47,24,34,27,27,34,42,65,58,64,95,105,114,91,827,780,,,,,,0,,159,11,1,6,3,3,1,,,,,,0,,4.9,30,NEW YORK,Other special emphasis association(s),Other school association(s),,,,,,,,,,,,,
A9702381,EAST HARLEM SCHOOL AT EXODUS HOUSE,9,13,309 E 103RD ST,NEW YORK,36061,061,NY,36,10029,2128768775,180,9,Yes,,,,,,,8,17,18,34,29,,,,,106,106,0,1,90,13,2,0,0,13.4,11,1,1,1,3,1,0,0.94,84.9,12.26,1.88,0,0,7.91,30,NEW YORK,,,,,,,,,,,,,,,
A2370864,EPISCOPAL SCHOOL IN THE CITY OF NEW YORK,2,3,35 E 69TH ST,NEW YORK,36061,061,NY,36,10021,2128799764,149,3,Yes,,177,22,,,,,,,,,,,,,199,22,0,0,0,0,22,0,0,33,11,1,7,1,2,1,0,0,0,0,100,0,0,0.66,14,NEW YORK,National Association of Episcopal Schools (NAES),,,,,,,,,,,,,,
A9104809,FELLOWSHIP OF LEARNING SCHOOL,12,12,9 W 130TH ST,NEW YORK,36061,061,NY,36,10037,2126908094,180,6.75,Yes,,,,,,,,,,2,,,,,,2,2,0,0,0,2,0,0,0,1,11,1,1,2,2,1,0,0,0,100,0,0,0,2,8,NEW YORK,Other religious school association(s),,,,,,,,,,,,,,
00935216,FRIENDS SEMINARY,3,17,222 E 16TH ST,NEW YORK,36061,061,NY,36,10003,6462568883,130,7,Yes,,,55,54,52,52,54,55,57,56,57,74,80,78,77,801,801,0,89,39,48,470,0,155,54.9,11,1,1,3,2,1,0,11.11,4.86,5.99,58.67,0,19.35,14.59,15,NEW YORK,Friends Council on Education (FCE),National Association of Independent Schools (NAIS),,,,,,,,,,,,,
A0502465,GEORGE JACKSON ACADEMY,11,13,104 SAINT MARKS PL,NEW YORK,36061,061,NY,36,10009,2122286789,180,7.5,Yes,,,,,,,,,20,28,30,,,,,78,78,0,7,18,41,0,0,12,14.4,11,3,1,1,3,1,0,8.97,23.07,52.56,0,0,15.38,5.41,30,NEW YORK,Other school association(s),,,,,,,,,,,,,,
A2190575,GERMAN SCHOOL MANHATTAN,2,10,74 WARREN ST FRNT A,NEW YORK,36061,061,NY,36,10007,6468691152,172,6.58,Yes,,23,12,11,10,14,11,9,,,,,,,,90,67,0,0,4,0,46,0,17,17.9,11,1,3,1,3,1,0,0,5.97,0,68.65,0,25.37,3.74,30,NEW YORK,Other school association(s),,,,,,,,,,,,,,
A0902294,GILLEN BREWER SCHOOL,1,1,410 E 92ND ST FRNT 3,NEW YORK,36061,061,NY,36,10128,2128313667,195,6,Yes,53,,,,,,,,,,,,,,,53,53,0,5,0,4,34,0,10,23.6,11,1,4,3,3,1,0,9.43,0,7.54,64.15,0,18.86,2.24,30,NEW YORK,National Association of Independent Schools (NAIS),National Independent Private Schools Association (NIPSA),,,,,,,,,,,,,
A2102614,GRACE CHURCH HIGH SCHOOL,2,17,46 COOPER SQ,NEW YORK,36061,061,NY,36,10003,2124750435,172,7.33,Yes,,27,41,45,46,36,46,44,52,51,51,86,84,93,87,789,762,0,,,,,,,,11,1,1,3,2,1,0,,,,,,,,14,NEW YORK,National Association of Episcopal Schools (NAES),,,,,,,,,,,,,,
BB240243,GUIDEPOST MONTESSORI AT EAST VILLAGE,2,3,1 AVE B,NEW YORK,36061,061,NY,36,10009,3329108325,,7,No,,7,1,,,,,,,,,,,,,8,1,0,0,0,1,0,0,0,2,11,1,7,1,3,1,0,0,0,100,0,0,0,0.5,30,NEW YORK,,,,,,,,,,,,,,,
A2190577,GUIDEPOST MONTESSORI COLUMBUS SQUARE,2,3,775 D COLUMBUS AVE,NEW YORK,36061,061,NY,36,10025,7175033839,253,10,No,,26,21,,,,,,,,,,,,,47,21,0,3,3,2,13,0,0,16,11,1,2,1,3,1,0,14.28,14.28,9.52,61.9,0,0,1.31,30,NEW YORK,Other Montessori association(s),,,,,,,,,,,,,,
A0701621,HARLEM ACADEMY,3,13,655 ST NICHOLAS AVE,NEW YORK,36061,061,NY,36,10030,2123482600,175,7.5,Yes,,,19,18,18,15,18,18,34,17,14,,,,,171,171,,,,,,,,20,11,1,1,1,3,1,,,,,,,,8.55,30,NEW YORK,National Association of Independent Schools (NAIS),Other school association(s),,,,,,,,,,,,,
BB162143,HUDSONWAY IMMERSION SCHOOL,2,12,525 W 52ND ST,NEW YORK,36061,061,NY,36,10019,2127878088,160,7,No,,60,22,20,15,6,9,7,2,1,,,,,,142,82,0,28,3,13,18,0,20,13.9,11,1,1,1,3,1,0,34.14,3.65,15.85,21.95,0,24.39,5.89,30,NEW YORK,,,,,,,,,,,,,,,
00920072,INCARNATION SCHOOL,2,13,570 W 175TH ST,NEW YORK,36061,061,NY,36,10033,2127951030,180,7,Yes,,94,16,17,12,14,15,20,21,15,21,,,,,245,151,0,0,150,1,0,0,0,14,11,1,1,1,1,1,0,0,99.33,0.66,0,0,0,10.78,1,NEW YORK,National Catholic Educational Association (NCEA),National Association for the Education of Young Children (NAEYC),,,,,,,,,,,,,
A1502519,ISLAMIC CULTURAL CENTER SCHOOL,2,13,222 E 97TH ST,NEW YORK,36061,061,NY,36,10029,6465592391,180,7.16,Yes,,10,21,20,15,14,20,11,20,11,9,,,,,151,141,0,56,2,52,25,0,6,19,11,1,1,1,2,1,0,39.71,1.41,36.87,17.73,0,4.25,7.42,17,NEW YORK,Islamic School League of America (ISLA),,,,,,,,,,,,,,
A9303747,LA SCUOLA D'ITALIA,2,17,12 E 96TH ST,NEW YORK,36061,061,NY,36,10128,2123693290,178,7,Yes,,15,14,14,16,11,9,12,13,6,8,6,7,3,8,142,127,0,2,3,2,120,0,0,9.8,11,1,6,3,3,1,0,1.57,2.36,1.57,94.48,0,0,12.95,30,NEW YORK,,,,,,,,,,,,,,,
BB162050,LASALLE ACADEMY,14,17,215 E 6TH ST,NEW YORK,36061,061,NY,36,10003,2124758940,180,6.21,No,,,,,,,,,,,,47,50,44,48,189,189,2,30,67,43,26,1,20,32.6,11,3,1,2,1,1,1.05,15.87,35.44,22.75,13.75,0.52,10.58,5.79,1,NEW YORK,Other religious school association(s),,,,,,,,,,,,,,
BB162142,LASCUOLA DITALIA NEW YORK,2,17,12 E 96TH ST,NEW YORK,36061,061,NY,36,10128,2123693290,182,7.5,No,,18,15,14,16,11,9,12,12,6,8,6,7,3,8,145,127,0,,,,,0,0,44,11,1,1,3,3,1,0,,,,,0,0,2.88,30,NEW YORK,Other school association(s),,,,,,,,,,,,,,
00940612,LYCEE FRANCAIS DE NEW YORK,2,17,505 E 75TH ST,NEW YORK,36061,061,NY,36,10021,2124393839,170,,Yes,,103,84,71,91,83,72,89,89,72,85,86,93,91,83,1192,1089,0,8,111,53,675,0,242,108.9,11,1,1,3,3,1,0,0.73,10.19,4.86,61.98,0,22.22,10,30,NEW YORK,National Association of Independent Schools (NAIS),,,,,,,,,,,,,,
A2192998,LYCEUM KENNEDY INTERNATIONAL SCHOOL,2,17,225 E 43RD ST FL 4,NEW YORK,36061,061,NY,36,10017,2126811877,173,7,Yes,,38,19,10,21,20,12,7,16,8,16,12,9,9,4,201,163,0,5,11,66,72,0,9,21.9,11,1,1,3,3,1,0,3.06,6.74,40.49,44.17,0,5.52,7.44,30,NEW YORK,,,,,,,,,,,,,,,
A1502531,MANHATTAN CHILDREN'S CENTER (THE),1,1,111 W 92ND ST,NEW YORK,36061,061,NY,36,10025,2127494604,210,6,No,122,,,,,,,,,,,,,,,122,122,0,17,12,13,67,0,13,101,11,1,4,3,3,1,0,13.93,9.83,10.65,54.91,0,10.65,1.2,30,NEW YORK,,,,,,,,,,,,,,,
02047364,MANHATTAN CHRISTIAN ACADEMY,2,16,401 W 205TH ST,NEW YORK,36061,061,NY,36,10034,2125675521,165,7.41,Yes,,8,10,15,7,13,19,24,20,17,17,6,1,13,,170,162,0,0,143,14,4,0,1,15.3,11,1,1,3,2,1,0,0,88.27,8.64,2.46,0,0.61,10.58,8,NEW YORK,Association of Christian Schools International (ACSI),,,,,,,,,,,,,,
A1302084,MANHATTAN COUNTRY SCHOOL,2,13,150 W 85TH ST,NEW YORK,36061,061,NY,36,10024,2123480952,165,6.75,Yes,,15,26,24,20,25,27,30,33,26,28,,,,,254,239,0,,,,,0,,40.4,11,1,1,1,3,1,0,,,,,0,,5.91,30,NEW YORK,State or regional independent school association,,,,,,,,,,,,,,
00938002,MANHATTAN DAY SCHOOL,2,13,310 W 75TH ST,NEW YORK,36061,061,NY,36,10023,2123766800,170,8.16,No,,53,31,42,37,38,32,39,37,35,40,,,,,384,331,0,2,0,3,326,0,0,67.1,11,1,1,1,2,1,0,0.6,0,0.9,98.48,0,0,4.93,18,NEW YORK,Agudath Israel of America (AIA),National Society for Hebrew Day Schools (Torah Umesorah),Prizmah: Center for Jewish Day Schools (PRIZMAH),,,,,,,,,,,,
A9502997,MANHATTAN HIGH SCHOOL FOR GIRLS,14,17,154 E 70TH ST,NEW YORK,36061,061,NY,36,10021,2127376800,165,8.25,Yes,,,,,,,,,,,,53,50,58,52,213,213,0,0,0,1,212,0,0,28.6,11,2,1,2,2,1,0,0,0,0.46,99.53,0,0,7.44,18,NEW YORK,Agudath Israel of America (AIA),National Society for Hebrew Day Schools (Torah Umesorah),Other special emphasis association(s),,,,,,,,,,,,
A1702618,MANHATTAN STAR ACADEMY,2,2,180 AMSTERDAM AVE,NEW YORK,36061,061,NY,36,10023,6467953850,210,5.5,No,64,7,,,,,,,,,,,,,,71,64,,,,,,,,18,11,-1,4,3,3,1,,,,,,,,3.55,30,NEW YORK,,,,,,,,,,,,,,,
A0740102,MARYMOUNT SCHOOL OF NY,2,17,1026 5TH AVE,NEW YORK,36061,061,NY,36,10028,2127444486,,7.08,Yes,,33,41,43,45,53,46,51,55,55,56,74,71,61,64,748,715,,,,0,,,,,11,2,1,3,1,1,,,,0,,,,,1,NEW YORK,National Association of Independent Schools (NAIS),,,,,,,,,,,,,,
A9104914,MESIVTA RABBI SAMSON RAPHAEL HIRSCH,-1,-1,220 BENNETT AVE,NEW YORK,36061,061,NY,36,10040,2127813399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,-1,-1,-1,2,1,,,,,,,,,-1,NEW YORK,,,,,,,,,,,,,,,
A1903082,MESIVTA TIFERETH JERUSALEM,2,17,145 E BROADWAY,NEW YORK,36061,061,NY,36,10002,2129642830,220,10.83,Yes,,12,6,6,5,6,8,13,9,8,7,8,12,6,4,110,98,0,0,0,0,98,0,0,23.5,11,3,1,3,2,1,0,0,0,0,100,0,0,4.17,18,NEW YORK,Agudath Israel of America (AIA),National Society for Hebrew Day Schools (Torah Umesorah),,,,,,,,,,,,,
BB162083,MONTESSORI SCHOOL OF NY,2,3,347 E 55TH ST,NEW YORK,36061,061,NY,36,10022,2122234630,185,6.5,Yes,5,7,1,,,,,,,,,,,,,13,6,0,0,1,1,,0,3,4,11,1,2,1,3,1,0,0,16.66,16.66,,0,50,1.5,30,NEW YORK,Other Montessori association(s),,,,,,,,,,,,,,
00922455,MOUNT CARMEL-HOLY ROSARY SCHOOL,2,13,371 PLEASANT AVE,NEW YORK,36061,061,NY,36,10035,2128767555,180,8,No,,11,17,18,26,21,26,30,25,26,29,,,,,229,218,,,,,,,,9.6,11,1,1,1,1,1,,,,,,,,22.7,1,NEW YORK,Other school association(s),,,,,,,,,,,,,,
00939174,NIGHTINGALE-BAMFORD SCHOOL,3,17,20 E 92ND ST,NEW YORK,36061,061,NY,36,10128,2122895020,170,7.33,Yes,,,47,45,48,46,49,49,60,63,55,74,58,56,57,707,707,0,,,,,0,,101.5,11,2,1,3,3,1,0,,,,,0,,6.96,30,NEW YORK,National Association of Independent Schools (NAIS),State or regional independent school association,,,,,,,,,,,,,
A1101740,NORD ANGLIA INTERNATIONAL SCHOOL,2,13,44 E 2ND ST,NEW YORK,36061,061,NY,36,10003,2126002010,,,,,12,14,18,5,15,14,9,10,5,9,,,,,111,99,,,,,,,,,11,-1,-1,1,3,1,,,,,,,,,30,NEW YORK,,,,,,,,,,,,,,,
00920017,NOTRE DAME SCHOOL,14,17,327 W 13TH ST,NEW YORK,36061,061,NY,36,10014,2126205575,180,7,Yes,,,,,,,,,,,,99,88,85,86,358,358,1,16,50,19,194,0,78,26.6,11,2,1,2,1,1,0.27,4.46,13.96,5.3,54.18,0,21.78,13.45,1,NEW YORK,Jesuit Schools Network (JSN),National Catholic Educational Association (NCEA),National Coalition of Girls’ Schools (NCGS),State or regional independent school association,,,,,,,,,,,
A1903101,OLIVET ACADEMY,6,11,6 BARCLAY ST FL 2,NEW YORK,36061,061,NY,36,10007,2125712777,180,6.5,Yes,,,,3,1,1,1,2,1,,,,,,,9,9,0,9,0,0,0,0,0,3,11,1,1,1,2,1,0,100,0,0,0,0,0,3,27,NEW YORK,,,,,,,,,,,,,,,
A1903113,PROFESSIONAL CHILDRENS SCHOOL,11,17,132 W 60TH ST,NEW YORK,36061,061,NY,36,10023,2125823116,172,7.08,Yes,,,,,,,,,5,4,9,14,25,27,21,105,105,0,26,15,7,53,0,4,21,11,1,1,3,3,1,0,24.76,14.28,6.66,50.47,0,3.8,5,30,NEW YORK,National Association of Independent Schools (NAIS),State or regional independent school association,,,,,,,,,,,,,
00941092,RABBI ARTHUR SCHNEIER PARK EAST DAY SCHOOL,2,13,164 E 68TH ST,NEW YORK,36061,061,NY,36,10065,2127377330,170,7.91,No,,56,10,14,9,12,17,11,7,15,13,,,,,164,108,0,0,0,0,106,0,2,19.5,11,1,1,1,2,1,0,0,0,0,98.14,0,1.85,5.53,18,NEW YORK,Agudath Israel of America (AIA),Prizmah: Center for Jewish Day Schools (PRIZMAH),,,,,,,,,,,,,
A0902362,REBECCA SCHOOL,1,1,40 E 30TH ST,NEW YORK,36061,061,NY,36,10016,2128104120,200,6.5,Yes,153,,,,,,,,,,,,,,,153,153,0,10,55,40,48,0,0,24,11,1,4,3,3,1,0,6.53,35.94,26.14,31.37,0,0,6.37,30,NEW YORK,National Independent Private Schools Association (NIPSA),,,,,,,,,,,,,,
00941183,REECE SCHOOL,6,14,25 E 104TH ST,NEW YORK,36061,061,NY,36,10029,2122894872,180,6.66,No,,,,3,8,7,12,14,26,21,34,14,,,,139,139,0,3,67,49,17,1,2,38,11,1,4,3,3,1,0,2.15,48.2,35.25,12.23,0.71,1.43,3.65,30,NEW YORK,,,,,,,,,,,,,,,
00919963,REGIS HIGH SCHOOL,14,17,55 E 84TH ST,NEW YORK,36061,061,NY,36,10028,2122881100,154,6.66,Yes,,,,,,,,,,,,134,133,133,129,529,529,0,47,83,17,268,1,113,,11,3,1,2,1,1,0,8.88,15.68,3.21,50.66,0.18,21.36,,1,NEW YORK,Jesuit Schools Network (JSN),State or regional independent school association,,,,,,,,,,,,,
