National Center for Education Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS Private School Universe Survey data 2023-24 school year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The file contains (115) records based on your search.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCES is not responsible for the manner in which this data is presented. This data is provided as an extra service to the user. For more information about this data, visit the PSS homepage. http://nces.ed.gov/surveys/pss",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_PACISL_PCT,PSS_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8,PSS_ASSOC_9,PSS_ASSOC_10,PSS_ASSOC_11,PSS_ASSOC_12,PSS_ASSOC_13,PSS_ASSOC_14,PSS_ASSOC_15
00941296,RODEPH SHOLOM SCHOOL,2,13,10 W 84TH ST,NEW YORK,36061,061,NY,36,10024,6464388600,172,7.33,Yes,,115,32,31,29,37,27,35,32,29,27,,,,,394,279,0,0,18,0,223,0,38,56,11,1,1,1,2,1,0,0,6.45,0,79.92,0,13.62,4.98,18,NEW YORK,Prizmah: Center for Jewish Day Schools (PRIZMAH),National Association of Independent Schools (NAIS),State or regional independent school association,Other school association(s),,,,,,,,,,,
A1903117,RUDOLF STEINER SCHOOL,2,17,15 E 79TH ST,NEW YORK,36061,061,NY,36,10075,2125352130,172,6.75,Yes,,28,19,13,17,22,23,16,11,22,14,19,20,26,16,266,238,0,32,38,17,141,0,10,34.5,11,1,3,3,3,1,0,13.44,15.96,7.14,59.24,0,4.2,6.89,30,NEW YORK,Association of Waldorf Schools of North America (AWSNA),National Association of Independent Schools (NAIS),State or regional independent school association,,,,,,,,,,,,
A1502585,SHEFA SCHOOL,6,13,40 E 29TH ST,NEW YORK,36061,061,NY,36,10016,2128731300,168,7.5,No,,,,4,20,28,30,32,30,47,24,,,,,215,215,0,2,0,0,213,0,0,75.1,11,1,4,1,2,1,0,0.93,0,0,99.06,0,0,2.86,18,NEW YORK,,,,,,,,,,,,,,,
BB162104,SOLOMON SCHECHTER SCHOOL OF MANHATTAN,3,13,805 COLUMBUS AVE,NEW YORK,36061,061,NY,36,10025,2124279500,180,7.25,Yes,,,8,4,8,6,8,10,2,1,9,,,,,56,56,0,1,1,5,49,0,0,14.9,11,1,1,1,2,1,0,1.78,1.78,8.92,87.5,0,0,3.75,18,NEW YORK,Prizmah: Center for Jewish Day Schools (PRIZMAH),,,,,,,,,,,,,,
BB162151,SPENCE SCHOOL,3,17,22 E 91ST ST,NEW YORK,36061,061,NY,36,10128,6469436837,168,7.5,Yes,,,56,53,56,54,53,53,58,64,58,70,67,61,69,772,772,1,132,28,81,383,0,147,132.1,11,2,1,3,3,1,0.12,17.09,3.62,10.49,49.61,0,19.04,5.84,30,NEW YORK,State or regional independent school association,,,,,,,,,,,,,,
A2370887,SPENCE SCHOOL,3,17,22 E 91ST ST,NEW YORK,36061,061,NY,36,10128,6466007671,168,7.5,Yes,,,56,53,56,54,53,53,58,64,58,70,67,61,69,772,772,1,132,28,81,383,0,147,132.1,11,2,1,3,3,1,0.12,17.09,3.62,10.49,49.61,0,19.04,5.84,30,NEW YORK,,,,,,,,,,,,,,,
00939618,ST BERNARDS SCHOOL,3,14,4 E 98TH ST,NEW YORK,36061,061,NY,36,10029,2122892878,,7,Yes,,,43,48,40,42,42,37,38,37,35,5,,,,367,367,0,32,15,20,300,0,0,75,11,3,1,3,3,1,0,8.71,4.08,5.44,81.74,0,0,4.89,30,NEW YORK,National Association of Independent Schools (NAIS),,,,,,,,,,,,,,
00922954,ST CHARLES BORROMEO SCHOOL,3,13,214 W 142ND ST,NEW YORK,36061,061,NY,36,10030,2123686666,,,,,,49,43,37,39,35,32,36,39,18,,,,,328,328,,,,,,,,,11,-1,-1,1,1,1,,,,,,,,,-1,NEW YORK,,,,,,,,,,,,,,,
A2370892,ST DAVIDS SCHOOL,3,13,12 E 89TH ST,NEW YORK,36061,061,NY,36,10128,2123606095,,7.25,Yes,,,45,45,45,45,45,45,45,45,45,,,,,405,405,,,,,,,,140,11,3,1,1,3,1,,,,,,,,2.89,30,NEW YORK,,,,,,,,,,,,,,,
00919883,ST ELIZABETH SCHOOL,2,13,612 W 187TH ST,NEW YORK,36061,061,NY,36,10033,2125687291,180,7,No,,102,15,14,16,20,7,17,15,29,30,,,,,265,163,0,1,157,3,1,0,1,15.9,11,1,1,1,1,1,0,0.61,96.31,1.84,0.61,0,0.61,10.25,1,NEW YORK,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,
00919828,ST GEORGE ACADEMY,14,17,215 E 6TH ST,NEW YORK,36061,061,NY,36,10003,2124733323,182,7.08,Yes,,,,,,,,,,,,27,36,32,27,122,122,0,3,20,9,90,0,0,11,11,1,1,2,2,1,0,2.45,16.39,7.37,73.77,0,0,11.09,16,NEW YORK,,,,,,,,,,,,,,,
A2192994,ST GEORGE ACADEMY,14,17,215 E 6TH ST,NEW YORK,36061,061,NY,36,10003,2124733323,182,7,Yes,,,,,,,,,,,,32,37,32,29,130,130,0,3,40,10,77,0,0,12.1,11,1,1,2,2,1,0,2.3,30.76,7.69,59.23,0,0,10.74,16,NEW YORK,,,,,,,,,,,,,,,
01607319,ST IGNATIUS LOYOLA SCHOOL,2,13,48 E 84TH ST,NEW YORK,36061,061,NY,36,10028,9174390049,180,6.75,Yes,,24,40,54,51,60,61,62,61,60,55,,,,,528,504,,,,,,0,,35.8,11,1,1,1,1,1,,,,,,0,,14.07,1,NEW YORK,,,,,,,,,,,,,,,
00935227,ST LUKES SCHOOL,2,13,487 HUDSON ST 6,NEW YORK,36061,061,NY,36,10014,2129245960,169,7,Yes,,17,84,44,34,42,37,37,37,35,29,,,,,396,379,,,,,,0,,42,11,1,1,1,2,1,,,,,,0,,9.02,14,NEW YORK,National Association of Episcopal Schools (NAES),National Association of Independent Schools (NAIS),Other school association(s),,,,,,,,,,,,
00919486,ST MARK THE EVANGELIST SCHOOL,2,13,55 W 138TH ST,NEW YORK,36061,061,NY,36,10037,2515451119,,8.98,Yes,,59,28,31,23,23,23,30,28,30,14,,,,,289,230,0,,,,0,0,0,,11,1,1,1,1,1,0,,,,0,0,0,,1,NEW YORK,,,,,,,,,,,,,,,
00919588,ST VINCENT FERRER HIGH SCHOOL,14,17,151 E 65TH ST,NEW YORK,36061,061,NY,36,10065,2125354680,180,6.66,No,,,,,,,,,,,,56,99,90,79,324,324,0,33,97,33,158,0,3,35.6,11,2,1,2,1,1,0,10.18,29.93,10.18,48.76,0,0.92,9.1,1,NEW YORK,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,
00938283,THE ALLEN-STEVENSON SCHOOL,3,13,132 E 78TH ST,NEW YORK,36061,061,NY,36,10075,2126060889,165,7.5,Yes,,,28,46,32,39,46,49,44,53,48,,,,,385,385,0,57,15,26,240,1,46,121.3,11,3,1,1,3,1,0,14.8,3.89,6.75,62.33,0.25,11.94,3.17,30,NEW YORK,National Association of Independent Schools (NAIS),State or regional independent school association,,,,,,,,,,,,,
BB162042,THE ATLAS SCHOOL,1,1,252 W 29TH ST FL 3,NEW YORK,36061,061,NY,36,10001,2122560846,205,7,No,29,,,,,,,,,,,,,,,29,29,0,0,13,6,9,0,1,9,11,1,4,3,3,1,0,0,44.82,20.68,31.03,0,3.44,3.22,30,NEW YORK,,,,,,,,,,,,,,,
00942052,THE BEEKMAN SCHOOL,14,17,220 E 50TH ST,NEW YORK,36061,061,NY,36,10022,2127556666,170,7.08,No,1,,,,,,,,,,,5,4,21,28,59,59,0,10,4,10,33,0,2,8.3,11,1,1,2,3,1,0,16.94,6.77,16.94,55.93,0,3.38,7.1,30,NEW YORK,State or regional independent school association,Other school association(s),,,,,,,,,,,,,
A1502611,THE BIRCH WATHEN LENOX SCHOOL,3,17,210 E 77TH ST,NEW YORK,36061,061,NY,36,10075,2128610404,165,6.91,Yes,,,14,12,15,17,18,17,16,19,29,36,32,56,45,326,326,,,,,,,,,11,1,1,3,3,1,,,,,,,,,30,NEW YORK,National Association of Independent Schools (NAIS),,,,,,,,,,,,,,
00939491,THE BREARLEY SCHOOL,3,17,610 E 83RD ST,NEW YORK,36061,061,NY,36,10028,2125708514,163,6.75,Yes,5,,60,59,59,52,50,59,59,60,61,68,64,62,63,781,781,,,,,,0,,120.9,11,2,1,3,3,1,,,,,,0,,6.45,30,NEW YORK,National Coalition of Girls’ Schools (NCGS),National Association of Independent Schools (NAIS),Other school association(s),,,,,,,,,,,,
00939651,THE BROWNING SCHOOL,3,17,52 E 62ND ST,NEW YORK,36061,061,NY,36,10065,2128386280,170,7,Yes,,,22,29,26,24,31,30,43,37,36,37,32,31,32,410,410,,,,,,,,61.3,11,3,1,3,3,1,,,,,,,,6.68,30,NEW YORK,National Association of Independent Schools (NAIS),Other school association(s),,,,,,,,,,,,,
00939072,THE BUCKLEY SCHOOL,3,14,113 E 73RD ST,NEW YORK,36061,061,NY,36,10021,2125358787,170,8,Yes,,,45,41,42,40,40,38,40,34,37,9,,,,366,366,0,,,,,0,,65,11,3,1,3,3,1,0,,,,,0,,5.63,30,NEW YORK,National Association of Independent Schools (NAIS),State or regional independent school association,,,,,,,,,,,,,
00939833,THE CAEDMON SCHOOL,2,10,416 E 80TH ST,NEW YORK,36061,061,NY,36,10075,2128792296,163,6.83,Yes,,85,24,24,19,12,18,11,,,,,,,,193,108,0,13,7,10,59,0,19,,11,1,2,1,3,1,0,12.03,6.48,9.25,54.62,0,17.59,,30,NEW YORK,American Montessori Society (AMS),National Association of Independent Schools (NAIS),Other school association(s),,,,,,,,,,,,
00937927,THE CATHEDRAL SCHOOL OF ST JOHN THE DIVINE,3,13,1047 AMSTERDAM AVE,NEW YORK,36061,061,NY,36,10025,2123167500,166,7.25,Yes,,,26,18,29,25,27,27,23,24,36,,,,,235,235,0,26,18,25,123,1,42,47.4,11,1,1,1,2,1,0,11.06,7.65,10.63,52.34,0.42,17.87,4.95,14,NEW YORK,National Association of Episcopal Schools (NAES),National Association of Independent Schools (NAIS),,,,,,,,,,,,,
00939094,THE CHAPIN SCHOOL LTD,3,17,100 E END AVE,NEW YORK,36061,061,NY,36,10028,2125704984,180,6.75,Yes,,,60,60,60,60,62,62,64,70,65,68,66,64,64,825,825,17,192,96,96,390,17,17,130,11,2,1,3,3,1,2.06,23.27,11.63,11.63,47.27,2.06,2.06,6.34,30,NEW YORK,National Association of Independent Schools (NAIS),State or regional independent school association,Other school association(s),,,,,,,,,,,,
00938374,THE CHURCHILL SCHOOL & CENTER,7,17,301 E 29TH ST,NEW YORK,36061,061,NY,36,10016,2127220610,180,6.75,Yes,,,,,22,30,39,39,39,39,39,41,37,32,37,394,394,0,10,42,35,250,2,55,9.8,11,1,4,3,3,1,0,2.53,10.65,8.88,63.45,0.5,13.95,40.2,30,NEW YORK,National Association of Independent Schools (NAIS),,,,,,,,,,,,,,
A1101658,THE ECOLE,2,13,111 E 22ND ST FL 3,NEW YORK,36061,061,NY,36,10010,6464102238,170,7.33,Yes,,73,35,36,38,35,29,29,20,19,10,,,,,324,251,0,12,10,13,198,0,18,29.5,11,1,3,1,3,1,0,4.78,3.98,5.17,78.88,0,7.17,8.5,30,NEW YORK,,,,,,,,,,,,,,,
A0740098,THE GATEWAY SCHOOL,3,13,211 W 61ST ST FL 602,NEW YORK,36061,061,NY,36,10023,2127775966,170,7,Yes,,,6,5,10,10,19,19,23,45,19,,,,,156,156,0,,,,,0,,48,11,1,4,1,3,1,0,,,,,0,,3.25,30,NEW YORK,National Association of Independent Schools (NAIS),State or regional independent school association,,,,,,,,,,,,,
A1903166,THE GENEVA SCHOOL OF MANHATTAN,2,16,138 W 90TH ST,NEW YORK,36061,061,NY,36,10024,2127549988,169,7.5,Yes,,51,46,32,36,29,29,29,27,37,25,12,5,10,,368,317,0,,,,,0,,41.3,11,1,1,3,2,1,0,,,,,0,,7.67,8,NEW YORK,Other school association(s),,,,,,,,,,,,,,
00939389,THE HEWITT SCHOOL,3,17,45 E 75TH ST,NEW YORK,36061,061,NY,36,10021,2122881919,161,7.25,Yes,,,21,20,21,28,30,25,45,45,33,46,49,56,50,469,469,0,,,,,0,,75.3,11,2,1,3,3,1,0,,,,,0,,6.22,30,NEW YORK,National Association of Independent Schools (NAIS),State or regional independent school association,Other school association(s),,,,,,,,,,,,
A0701711,THE IDEAL SCHOOL OF MANHATTAN,3,17,5 HANOVER SQ,NEW YORK,36061,061,NY,36,10004,2127691699,166,7.25,Yes,7,,7,7,12,12,7,11,15,20,14,20,14,16,12,174,174,,,,,,,,90,11,1,1,3,3,1,,,,,,,,1.93,30,NEW YORK,National Association of Independent Schools (NAIS),Other school association(s),,,,,,,,,,,,,
A2301706,THE IDEAL SCHOOL OF MANHATTAN,3,17,5 HANOVER SQ,NEW YORK,36061,061,NY,36,10004,4432537843,168,7,Yes,7,,7,7,12,14,7,10,16,21,14,18,13,17,13,176,176,0,,,,,0,,39.1,11,1,6,3,3,1,0,,,,,0,,4.5,30,NEW YORK,State or regional independent school association,,,,,,,,,,,,,,
A0502504,THE KESWELL SCHOOL,1,1,219 STANTON ST,NEW YORK,36061,061,NY,36,10002,6467836101,178,8,Yes,47,,,,,,,,,,,,,,,47,47,0,4,6,5,27,0,5,60,11,1,4,3,3,1,0,8.51,12.76,10.63,57.44,0,10.63,0.78,30,NEW YORK,,,,,,,,,,,,,,,
A0902318,THE KINGS ACADEMY OF THE TRUE CHURCH OF GOD,2,17,2345 3RD AVE,NEW YORK,36061,061,NY,36,10035,6317074423,180,8,Yes,,2,4,,5,,,2,2,2,1,1,1,,1,21,19,0,0,4,12,0,0,3,6.1,11,1,1,3,2,1,0,0,21.05,63.15,0,0,15.78,3.11,8,NEW YORK,,,,,,,,,,,,,,,
A1101727,THE LANG SCHOOL,3,17,26 BROADWAY,NEW YORK,36061,061,NY,36,10004,2129777777,168,6.5,No,,,2,4,4,5,7,5,12,5,8,5,3,4,4,68,68,0,3,3,4,45,0,13,23.9,11,1,4,3,3,1,0,4.41,4.41,5.88,66.17,0,19.11,2.84,30,NEW YORK,State or regional independent school association,,,,,,,,,,,,,,
A9104974,THE PARKSIDE SCHOOL,1,1,48 W 74TH ST,NEW YORK,36061,061,NY,36,10023,2127218888,180,6.25,Yes,79,,,,,,,,,,,,,,,79,79,0,9,5,5,45,0,15,14.1,11,1,4,3,3,1,0,11.39,6.32,6.32,56.96,0,18.98,5.6,30,NEW YORK,National Association of Independent Schools (NAIS),,,,,,,,,,,,,,
A0502577,THE SCHOOL AT COLUMBIA UNIVERSITY,3,13,556 W 110TH ST,NEW YORK,36061,061,NY,36,10025,2128514288,163,7.25,Yes,,,29,34,45,49,49,56,55,44,44,,,,,405,405,0,43,85,81,151,0,45,80,11,1,1,1,3,1,0,10.61,20.98,20,37.28,0,11.11,5.06,30,NEW YORK,Other school association(s),,,,,,,,,,,,,,
A2301755,THE SHIRLY ANINIAS SCHOOL,1,1,291 BROADWAY STE 203,NEW YORK,36061,061,NY,36,10007,2122277138,210,6,No,17,,,,,,,,,,,,,,,17,17,0,4,2,0,9,1,1,19.3,11,1,4,3,3,1,0,23.52,11.76,0,52.94,5.88,5.88,0.88,30,NEW YORK,,,,,,,,,,,,,,,
A1101731,THE SPEYER LEGACY SCHOOL,3,13,925 9TH AVE,NEW YORK,36061,061,NY,36,10019,2125814000,165,6.66,Yes,,,25,40,39,36,47,41,40,37,35,,,,,340,340,0,92,26,6,140,0,76,51.3,11,1,3,1,3,1,0,27.05,7.64,1.76,41.17,0,22.35,6.62,30,NEW YORK,State or regional independent school association,,,,,,,,,,,,,,
A9105054,THE STUDIO SCHOOL,2,13,117 W 95TH ST,NEW YORK,36061,061,NY,36,10025,2126782416,,6.5,Yes,,19,5,12,7,5,8,7,12,3,7,,,,,85,66,0,,,,,0,,12.1,11,1,1,1,3,1,0,,,,,0,,5.45,30,NEW YORK,State or regional independent school association,,,,,,,,,,,,,,
A2102772,THE TITUS SCHOOL,1,1,90 JOHN ST,NEW YORK,36061,061,NY,36,10038,6467564103,210,6.5,Yes,,,,,,,,,,,,,,,,86,,0,14,6,4,50,0,12,14,11,1,4,3,3,1,,,,,,,,,30,NEW YORK,,,,,,,,,,,,,,,
00939695,THE TOWN SCHOOL,2,13,540 E 76TH ST,NEW YORK,36061,061,NY,36,10021,2122884383,165,7,Yes,,19,29,42,32,37,27,40,28,33,28,,,,,315,296,0,,,,,,,64.8,11,1,1,1,3,1,0,,,,,,,4.56,30,NEW YORK,National Association of Independent Schools (NAIS),,,,,,,,,,,,,,
BB162138,TRANSFIGURATION SCHOOL,2,13,29 MOTT ST,NEW YORK,36061,061,NY,36,10013,2129625265,180,6.75,No,,67,17,7,15,24,27,21,31,18,42,,,,,269,202,0,131,13,5,22,0,31,14,11,1,1,1,1,1,0,64.85,6.43,2.47,10.89,0,15.34,14.42,1,NEW YORK,National Catholic Educational Association (NCEA),,,,,,,,,,,,,,
00942722,TRINITY SCHOOL,3,17,139 W 91ST ST,NEW YORK,36061,061,NY,36,10024,2128731650,180,7,Yes,,,62,62,60,60,60,60,60,67,67,125,123,129,109,1044,1044,,,,,579,,,156.5,11,1,1,3,2,1,,,,,55.45,,,6.67,8,NEW YORK,National Association of Independent Schools (NAIS),State or regional independent school association,Other school association(s),,,,,,,,,,,,
00942201,VILLAGE COMMUNITY SCHOOL,3,13,272 W 10TH ST,NEW YORK,36061,061,NY,36,10014,2126915146,170,7,Yes,,,30,31,31,42,37,41,27,32,33,,,,,304,304,0,18,4,25,175,0,82,58.1,11,1,1,1,3,1,0,5.92,1.31,8.22,57.56,0,26.97,5.23,30,NEW YORK,National Association of Independent Schools (NAIS),State or regional independent school association,,,,,,,,,,,,,
A0502592,WEST END DAY SCHOOL,1,1,255 W 71ST ST,NEW YORK,36061,061,NY,36,10023,2128735708,170,6.5,Yes,38,,,,,,,,,,,,,,,38,38,0,1,2,3,26,0,6,11.8,11,1,4,3,3,1,0,2.63,5.26,7.89,68.42,0,15.78,3.22,30,NEW YORK,State or regional independent school association,,,,,,,,,,,,,,
A2102787,WINCHENDON SCHOOL-NYC,14,17,45 W 34TH ST,NEW YORK,36061,061,NY,36,10001,3473285622,175,6.5,No,,,,,,,,,,,,12,15,28,25,80,80,,,,,,0,,10.4,11,1,1,2,3,1,,,,,,0,,7.69,30,NEW YORK,,,,,,,,,,,,,,,
A1903207,WINDWARD SCHOOL THE - NYC,7,13,205 E 92ND ST,NEW YORK,36061,061,NY,36,10128,2122228628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,-1,-1,1,3,1,,,,,,,,,30,NEW YORK,,,,,,,,,,,,,,,
A2370902,WINSTON PREPARATORY SCHOOL (TRANSITIONS),1,1,240 MADISON AVE 5TH FL,NEW YORK,36061,061,NY,36,10016,6463439080,170,6.16,No,32,,,,,,,,,,,,,,,32,32,0,0,6,10,16,0,0,13.3,11,1,4,3,3,1,0,0,18.75,31.25,50,0,0,2.4,30,NEW YORK,,,,,,,,,,,,,,,
00919613,XAVIER HIGH SCHOOL,14,17,30 W 16TH ST,NEW YORK,36061,061,NY,36,10011,2129247900,170,6.5,Yes,,,,,,,,,,,,208,239,242,235,924,924,1,74,150,62,532,0,105,67.5,11,3,1,2,1,1,0.1,8,16.23,6.7,57.57,0,11.36,13.68,1,NEW YORK,Jesuit Schools Network (JSN),National Catholic Educational Association (NCEA),,,,,,,,,,,,,
A0502613,YESHIVA RABBI SAMSON RAPHAEL HIRSCH,2,17,85 BENNETT AVE # 93,NEW YORK,36061,061,NY,36,10033,2125686250,176,9.25,Yes,,18,20,7,21,11,19,18,15,14,17,11,15,9,9,204,186,0,16,0,1,167,0,2,37.1,11,1,1,3,2,1,0,8.6,0,0.53,89.78,0,1.07,5.01,18,NEW YORK,,,,,,,,,,,,,,,
00935963,YESHIVA UNIVERSITY HIGH SCHOOL,14,17,2540 AMSTERDAM AVE,NEW YORK,36061,061,NY,36,10033,9176646650,,9.71,No,,,,,,,,,,,,51,71,68,56,246,246,,,,,,,,42,11,3,3,2,2,1,,,,,,,,5.85,18,NEW YORK,National Association of Independent Schools (NAIS),Other school association(s),,,,,,,,,,,,,
00940077,YORK PREP SCHOOL,11,17,40 W 68TH ST,NEW YORK,36061,061,NY,36,10023,2123620400,,,,,,,,,,,,12,28,48,70,70,62,61,351,351,,,,,,,,,11,1,-1,3,3,1,,,,,,,,,30,NEW YORK,,,,,,,,,,,,,,,
